 "g" , "hw" , "pos" , "sub" , "f" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bheunas" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bhictoria" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Biathadh RSS" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Computing]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bith-eòlas" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bitrex" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bliadhn' Ùr Mhath" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bliadhna Mhath Ùr" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bluetooth" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Computing]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Blàr Allt a’ Bhonnaich" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Blàr Chùil Lodair" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Blàr na Leargaidh Ghallta" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Blàr na h-Eaglaise Brice" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bodach na Nollaig" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Boycott Bhusaichean Mhontgomery" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[History]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Breith Chrìosd" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Budach" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Budach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Budachd" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bìoball" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Religious and Moral Education]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Cailean" , "http://faclair.ac.uk/meta/" , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Calum MacGumaraid" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Catalan" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Language]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Catalan" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Language]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Catriona" , "http://faclair.ac.uk/meta/" , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "Catriona Mhòr" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
